Delay,Noise,Average Polar Orderparameter,Average Polar Orderparameter Squared,Average Polar Orderparameter Fourth Power,Variance,Binder,snapshotPath,timeseriesPath
0,0.479,0.0479823397385823,0.0029428135666671,1.7933463996660558e-05,0.0006405086398784,0.3097324911303089,data/outputImages/snapshots/delay_0/Noise=0.479000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.479000.csv
0,0.48,0.0443719366071199,0.0025140361491564,1.2322409993141918e-05,0.0005451673908901,0.3501227056100244,data/outputImages/snapshots/delay_0/Noise=0.480000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.480000.csv
0,0.485,0.03809571349562,0.0018139440043369,6.21708041676861e-06,0.0003626606175965,0.3701785066865324,data/outputImages/snapshots/delay_0/Noise=0.485000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.485000.csv
0,0.49,0.033302838379336,0.0014011766218976,3.7528446039370446e-06,0.0002920975777774,0.3628325791829316,data/outputImages/snapshots/delay_0/Noise=0.490000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.490000.csv
0,0.495,0.02831521169963,0.0010070559176363,1.933314673484792e-06,0.0002053047040414,0.3645606272273236,data/outputImages/snapshots/delay_0/Noise=0.495000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.495000.csv
0,0.5,0.026103317259185,0.0008689839808296,1.5073652477732612e-06,0.000187600808896,0.3346139331275748,data/outputImages/snapshots/delay_0/Noise=0.500000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.500000.csv
0,0.55,0.011644055517726,0.0001720866796314,5.8025787071876484e-08,3.650265073153617e-05,0.3468615140486651,data/outputImages/snapshots/delay_0/Noise=0.550000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.550000.csv
0,0.6,0.0070625585678499,6.316125935464094e-05,7.868763470300331e-09,1.3281525830329512e-05,0.3425182918462152,data/outputImages/snapshots/delay_0/Noise=0.600000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.600000.csv
0,0.65,0.00490753771066,3.064383138915525e-05,1.8697770208669164e-09,6.559905007605253e-06,0.3362837737056601,data/outputImages/snapshots/delay_0/Noise=0.650000_Delay=0.png,data/observables/delay_0/out_N_131072_delayTime_0_eta_0.650000.csv
1,0.45,0.5681410098,0.32279613169,0.104212720564,1.1924673436303213e-05,0.6666174717781234,data/outputImages/snapshots/delay_1/Noise=0.450000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.450000.csv
1,0.46,0.5502138254900001,0.3027465641499999,0.0916691590159999,1.1310389659680007e-05,0.6666169263745207,data/outputImages/snapshots/delay_1/Noise=0.460000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.460000.csv
1,0.47,0.52976950612,0.28067039946,0.0787923125939999,1.4669845371406698e-05,0.6665971045012042,data/outputImages/snapshots/delay_1/Noise=0.470000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.470000.csv
1,0.48,0.5077003315899999,0.25777916562,0.066470195484,1.953892340411656e-05,0.6665658528891474,data/outputImages/snapshots/delay_1/Noise=0.480000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.480000.csv
1,0.49,0.4878721011100001,0.2380389854,0.0566813714879999,1.979835851381728e-05,0.6665559944214,data/outputImages/snapshots/delay_1/Noise=0.490000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.490000.csv
1,0.5,0.47039071866,0.2212854061199999,0.0489830877569999,1.7977918528727654e-05,0.6665587251242974,data/outputImages/snapshots/delay_1/Noise=0.500000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.500000.csv
1,0.51,0.44700315691,0.19982970955,0.039946191376,1.7887262493909706e-05,0.6665474758060684,data/outputImages/snapshots/delay_1/Noise=0.510000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.510000.csv
1,0.52,0.4229038561799999,0.17887260135,0.0320131405699999,2.4929778085935883e-05,0.6664819208165383,data/outputImages/snapshots/delay_1/Noise=0.520000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.520000.csv
1,0.53,0.39640599992,0.15716063712,0.024713852708,2.2920347424931764e-05,0.6664725079735563,data/outputImages/snapshots/delay_1/Noise=0.530000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.530000.csv
1,0.54,0.3726296686999999,0.1388805894999999,0.019303181058,2.771950452823413e-05,0.6664011637117084,data/outputImages/snapshots/delay_1/Noise=0.540000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.540000.csv
1,0.55,0.3333721153154155,0.1112053629705,0.0123966809556136,6.839570062536215e-05,0.6658567398576427,data/outputImages/snapshots/delay_1/Noise=0.550000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.550000.csv
1,0.56,0.311584227743935,0.097118195520505,0.0094448812905428,3.3464541720665264e-05,0.6662094477547289,data/outputImages/snapshots/delay_1/Noise=0.560000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.560000.csv
1,0.57,0.2698704828979507,0.0728820730295692,0.0053268514264263,5.19954899960845e-05,0.6657219230729743,data/outputImages/snapshots/delay_1/Noise=0.570000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.570000.csv
1,0.58,0.2393704127766625,0.057351669929873,0.0033013685723559,5.347541700324171e-05,0.6654349105440648,data/outputImages/snapshots/delay_1/Noise=0.580000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.580000.csv
1,0.59,0.2013956735234032,0.0406219665434081,0.0016600600194318,6.174922946294154e-05,0.6646636389346536,data/outputImages/snapshots/delay_1/Noise=0.590000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.590000.csv
1,0.6,0.1569854080037326,0.0247229993057414,0.0006188821468141,7.858097964307323e-05,0.6624917551272012,data/outputImages/snapshots/delay_1/Noise=0.600000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.600000.csv
1,0.61,0.1105753319144135,0.0123485779566959,0.0001581046568877,0.0001216739287132,0.6543874441165409,data/outputImages/snapshots/delay_1/Noise=0.610000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.610000.csv
1,0.611,0.1041489532984548,0.0109982752128376,0.0001270594616251,0.0001512707396739,0.6498641417375219,data/outputImages/snapshots/delay_1/Noise=0.611000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.611000.csv
1,0.612,0.0988553183597645,0.0099575400739797,0.0001055167574811,0.0001851661059693,0.6452715212756972,data/outputImages/snapshots/delay_1/Noise=0.612000_Delay=1.png,data/observables/delay_1/out_N_131072_delayTime_1_eta_0.612000.csv
