Delay,Noise,Average Polar Orderparameter,Average Polar Orderparameter Squared,Average Polar Orderparameter Fourth Power,Variance,Binder,snapshotPath,timeseriesPath,Custom
3,0.535,0.45181116272,0.20414933668,0.041689986504,1.6009921601667365e-05,0.6665624137035404,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5350.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5350.png,515
3,0.536,0.44700367924,0.1998425478,0.0399609702,3.025854590316124e-05,0.6664669666182779,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5360.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5360.png,516
3,0.537,0.4402109984,0.1938054747599999,0.0375757835959999,1.9751647675148032e-05,0.6665315821682685,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5370.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5370.png,517
3,0.538,0.4406820086,0.19421720168,0.0377331401799999,1.656897626947651e-05,0.6665533877487009,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5380.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5380.png,518
3,0.539,0.4415638626400001,0.19498859832,0.038028291496,9.953530443140846e-06,0.6665988259814364,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5390.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5390.png,519
3,0.54,0.4424197583435898,0.1957477309487179,0.0383269086994871,1.2488375917524276e-05,0.6665819828999575,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5400.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5400.png,520
3,0.541,0.43994198356,0.19356972956,0.03748517658,2.0780661292657543e-05,0.6665248936818344,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5410.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5410.png,521
3,0.542,0.4327405413199999,0.18731275192,0.035121751804,4.837581807343172e-05,0.6663276453668048,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5420.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5420.png,522
3,0.543,0.43334417428,0.18780748924,0.035286864704,2.031585758496824e-05,0.6665229092102093,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5430.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5430.png,523
3,0.544,0.4242890764400001,0.18008019012,0.0324713040879999,5.896973369179381e-05,0.6662305407910908,data/outputImages/snapshots/delay_3/delayTime=3_noiseStrength=0.5440.png,data/outputImages/timeSeries/delay_3/delayTime=3_noiseStrength=0.5440.png,524
